Symbol,MGI_ID
GLNS-PS1,95740
GLO1,95742
HAGH,95745
GLRA1,95747
GLRA2,95748
GLRA3,95749
GLRA4,95750
GLRB,95751
GLS,95752
GLUD1,95753
GLUD-PS,95754
SLC2A1,95755
SLC2A3,95757
SLC2A4,95758
GLYCAM1,95759
SLC6A9,95760
GM2A,95762
GNL1,95764
GNA11,95766
GNA12,95767
GNA13,95768
GNA14,95769
GNA15,95770
GNAI1,95771
GNAI2,95772
GNAI3,95773
GNAL,95774
GNAO1,95775
GNAQ,95776
GNAS,95777
GNAT1,95778
GNAT2,95779
GNAZ,95780
GNB1,95781
GNB2,95784
GNB3,95785
GNG7,95787
GNRH1,95789
GNRHR,95790
GOT1,95791
GOT2,95792
LRP2,95794
GPI1,95797
GRK4,95801
GPT,95802
GSR,95804
GRB2,95805
TLE5,95806
GRIA1,95808
GRIA2,95809
GRIA3,95810
GRIA4,95811
GRID1,95812
GRID2,95813
GRIK1,95814
GRIK2,95815
GRIK3,95816
GRIK4,95817
GRIK5,95818
GRIN1,95819
GRIN2A,95820
GRIN2B,95821
GRIN2C,95822
GRIN2D,95823
NR3C1,95824
GRN,95832
GRP,95833
PDIA3,95834
HSPA5,95835
GRPR,95836
GSC,95841
GSX1,95842
GSX2,95843
GSN,95851
GSS,95852
GSTA3,95856
GSTM1,95860
GSTM2,95861
GSTM4,95862
GSTA2,95863
GSTP2,95864
GSTP1,95865
GUK1,95871
GUSB,95872
GYPA,95880
H13,95886
H19,95891
H1F0,95893
H2-AA,95895
H2-D1,95896
H2-EA,95900
H2-EB1,95901
H2-EB2,95902
H2-K1,95904
H2-K2,95906
PFDN6,95908
SLC39A7,95909
H2-KE6,95911
H2-M1,95913
H2-M2,95914
H2-M3,95915
H2-M4-PS,95916
H2-M5,95917
H2-M6-PS,95918
H2-DMA,95921
H2-DMB1,95922
H2-DMB2,95923
H2-OA,95924
H2-OB,95925
H2-PB,95926
H2-Q1,95928
H2-Q10,95929
H2-Q2,95931
H2-Q3,95932
H2-Q4,95933
H2-Q5,95934
H2-Q6,95935
H2-Q7,95936
H2-T10,95942
H2-T22,95956
H2-T23,95957
H2-T24,95958
H2-T3,95959
IFI44L,95975
SELENOS,95994
HADH,96009
HAL,96010
HAO1,96011
HAO2,96012
HAT1,96013
HBA-A1,96015
HBA-A2,96016
HBA-PS3,96017
HBA-PS4,96018
HBA-X,96019
HBB-BH0,96023
HBB-BH1,96024
HBB-BH2,96025
HBB-BH3,96026
HBB-Y,96027
HC,96031
SERPIND1,96051
HCK,96052
PTPN6,96055
HDC,96062
HTT,96067
HBEGF,96070
HESX1,96071
HEXA,96073
HEXB,96074
HGD,96078
HGF,96079
MST1,96080
NRG1,96083
HHEX,96086
ASMT,96090
VIS1,96091
H2AC18,96097
HIVEP1,96100
HK1,96103
HLF,96108
HLX,96109
HMBS,96112
HMGB1,96113
HMGB1-PS8,96114
HMGB1-PS9,96115
HMGN1,96120
HMGN2,96136
HMGB2,96157
HMGCL,96158
HMGCR,96159
HMGA1,96160
HMGA1B,96161
HMOX1,96163
HOXA1,96170
HOXA10,96171
HOXA11,96172
HOXA13,96173
HOXA2,96174
HOXA3,96175
HOXA4,96176
HOXA5,96177
HOXA6,96178
HOXA7,96179
HOXA9,96180
HOXB1,96182
HOXB2,96183
HOXB3,96184
HOXB4,96185
HOXB5,96186
HOXB6,96187
HOXB7,96188
HOXB8,96189
HOXB9,96190
HOXC10,96192
HOXC11,96193
HOXC12,96194
HOXC4,96195
HOXC5,96196
HOXC6,96197
HOXC8,96198
HOXC9,96199
HOXD1,96201
HOXD10,96202
HOXD11,96203
HOXD12,96204
HOXD13,96205
HOXD3,96207
HOXD4,96208
HOXD8,96209
HOXD9,96210
HP,96211
HPD,96213
LIPC,96216
HPRT,96217
HR,96223
HRAS,96224
HRC,96226
HSPA1L,96231
HSD3B1,96233
HSD3B2,96234
HSD3B3,96235
HSD3B4,96236
HSF1,96238
HSF2,96239
HSPB1,96240
HSP25-PS1,96241
HSPD1,96242
HSPA2,96243
HSPA1A,96244
HSPA9,96245
HSPA9-PS1,96246
HSP90AB1,96247
HSP90AA1,96250
HSPG2,96257
RANBP1,96269
TRMT2A,96270
HTR1A,96273
HTR1B,96274
HTR1D,96276
HTR2C,96281
HTR3A,96282
HTR5A,96283
HTR5B,96284
SLC6A4,96285
HYAL1,96298
IAPP,96382
IBSP,96389
ICA1,96391
ICAM1,96392
ICAM2,96394
IRF8,96395
ID1,96396
ID2,96397
ID3,96398
IDE,96412
IDH1,96413
IDH2,96414
IDO1,96416
IDS,96417
IDUA,96418
IFI203,96428
IFI204,96429
CD79B,96431
IGF1,96432
IGF1R,96433
IGF2,96434
IGF2R,96435
IGFBP1,96436
IGFBP2,96437
IGFBP3,96438
IGFBP4,96439
IGFBP5,96440
IGFBP6,96441
IGHA,96444
IGHG2B,96445
IGHG1,96446
IGHD,96447
IGHM,96448
JCHAIN,96493
IGKC,96495
IGKV15-103,96513
IGKV13-84,96514
RBPJ,96522
RBPJ-PS1,96523
RBPJ-PS2,96524
RBPJ-PS3,96525
IGLL1,96529
IGLV1,96530
IHH,96533
CD74,96534
IL10,96537
IL10RA,96538
IL12A,96539
IL12B,96540
IL13,96541
IL1A,96542
IL1B,96543
CASP1,96544
IL1R1,96545
IL1R2,96546
IL1RN,96547
IL2,96548
IL2RA,96549
IL2RB,96550
IL2RG,96551
IL3,96552
IL3RA,96553
IL4,96556
IL5,96557
IL5RA,96558
IL6,96559
IL6ST,96560
IL7,96561
IL7R,96562
IL9,96563
IL9R,96564
FABP6,96565
IMPDH1,96567
INA,96568
INHA,96569
INHBA,96570
INHBB,96571
INS1,96572
INS2,96573
INSR,96575
IPP,96581
IRF1,96590
IRF2,96591
ITGA1,96599
ITGA2,96600
ITGA2B,96601
ITGA3,96602
ITGA4,96603
ITGA5,96604
ITGA6,96605
ITGAL,96606
ITGAM,96607
ITGAV,96608
ITGAX,96609
ITGB1,96610
ITGB2,96611
ITGB3,96612
ITGB4,96613
ITGB5,96614
ITGB6,96615
ITGB7,96616
CD47,96617
ITIH1,96618
ITIH2,96619
ITIH3,96620
ITK,96621
ITPA,96622
ITPR1,96623
ITPR3,96624
IVL,96626
JAK1,96628
JAK2,96629
JUN,96646
JUNB,96647
JUND,96648
JUP,96650
KAP,96653
KCNA1,96654
KCNA2,96659
KCNA3,96660
KCNA4,96661
KCNA5,96662
KCNA6,96663
KCNA7,96664
KCNB1,96666
KCNC1,96667
KCNC2,96668
KCNC3,96669
KCNC4,96670
KCND1,96671
KCNE1,96673
KIN,96676
KIT,96677
KRAS,96680
KDR,96683
KRT10,96685
KRT12,96687
KRT14,96688
KRT15,96689
KRT16,96690
KRT17,96691
KRT18,96692
KRT19,96693
KRT9,96696
KRT1,96698
KRT2,96699
KRT84,96700
KRT4,96701
KRT5,96702
KRT7,96704
KRT8,96705
KY,96709
L1CAM,96721
HIKESHI,96738
STMN1,96739
STMN1-RS1,96740
LALBA,96742
LAMB1,96743
LAMP1,96745
LAMP2,96748
LCAT,96755
LCK,96756
LCN2,96757
LDHA,96759
LDHA-PS,96760
LDHA-PS2,96761
LDHA-PS3,96762
LDHB,96763
LDHC,96764
LDLR,96765
LEF1,96770
LGALS1,96777
LGALS3,96778
LHB,96782
LHCGR,96783
LHX2,96785
LIF,96787
LIFR,96788
LIPA,96789
LIPE,96790
LMNA,96794
LMNB1,96795
LMNB2,96796
MYCL,96799
LOR,96816
LOX,96817
ANXA1,96819
LPL,96820
TLR4,96824
SELENBP1,96825
LRP1,96828
LRPAP1,96829
LSP1,96832
LTA4H,96836
LTF,96837
LTK,96840
ALAD,96853
KLRB1,96877
BLNK,96878
LY6D,96881
LY6C1,96882
LY9,96885
LYL1,96891
LYN,96892
LYZ2,96897
LYZ1,96902
M6PR,96904
M6PR-PS,96905
MARCKS,96907
MXD1,96908
MAF,96909
MAFF,96910
MAFG,96911
MAG,96912
MAK,96913
MAOA,96915
MAOB,96916
MAS1,96918
ASCL1,96919
ASCL2,96920
MAX,96921
MB,96922
MBL1,96923
MBL2,96924
MBP,96925
MC2R,96928
MC3R,96929
MCC,96930
MCF2,96932
MCPT1,96937
MCPT2,96938
MCPT4,96940
CMA1,96941
TPSB2,96942
TPSAB1,96943
SMCP,96945
MDK,96949
MDM1,96951
MDM2,96952
SLC3A2,96955
MEA1,96957
GOLGA3,96958
RAB8A,96960
MEP1A,96963
MEP1B,96964
MERTK,96965
MEST,96968
MET,96969
MGAT1,96973
KITL,96974
CLEC10A,96975
MGP,96976
MGMT,96977
MIF,96982
MIP,96990
KMT2A,96995
MME,97004
MMP12,97005
MMP10,97007
MMP11,97008
MMP2,97009
MMP3,97010
MMP9,97011
NDST2,97040
ME1,97043
MDH2,97050
MDH1,97051
MOS,97052
MOV10,97054
GBP4,97072
MPG,97073
MPI,97075
MPL,97076
MPO,97137
MPV17,97138
MRC1,97142
MARCKSL1,97143
MARCKSL1-PS1,97144
MARCKSL1-PS2,97145
MARCKSL1-PS4,97147
MSMB,97166
MSN,97167
MSX1,97168
MSX2,97169
MT1,97171
MT2,97172
MT3,97173
MAP2,97175
MAP4,97178
MAPT,97180
MUC1,97231
MUP1,97233
MUP2,97234
MUP3,97235
MUP4,97236
MMUT,97239
MX1,97243
MX2,97244
MXI1,97245
MYB,97249
MYC,97250
MYF5,97252
MYF6,97253
MYH6,97255
MYL4,97267
MYL3,97268
MYL1,97269
MYLF-PS,97270
MYL2,97272
MYLPF,97273
MYOD1,97275
MYOG,97276
NAT1,97279
NCAM1,97281
NCAM2,97282
NCF1,97283
NCF2,97284
NCL,97286
NDN,97290
NEB,97292
NEDD1,97293
CASP2,97295
NEDD4,97297
SEPTIN2,97298
NEDD8,97301
NEDD9,97302
NEK1,97303
NEU1,97305
NF1,97306
NF2,97307
NFE2,97308
NEFH,97309
NFIX,97311
NFKB1,97312
NEFL,97313
NEFM,97314
NFYA,97316
NFYB,97317
KLK1B4,97320
NGF,97321
KLK1B3,97322
NGFR,97323
NHLH2,97324
NID1,97342
NKTR,97346
NKX2-2,97347
